variable,areaName,Borough,areaType,value
2010-03-01,Jamaica Hills,Queens,neighborhood,4
2010-03-01,Kensington,Brooklyn,neighborhood,65
2010-03-01,Kew Gardens,Queens,neighborhood,26
2010-03-01,Kew Gardens Hills,Queens,neighborhood,24
2010-03-01,Kingsbridge,Bronx,neighborhood,11
2010-03-01,Laconia,Bronx,neighborhood,3
2010-03-01,Laurelton,Queens,neighborhood,4
2010-03-01,Little Italy,Manhattan,neighborhood,6
2010-03-01,Little Neck,Queens,neighborhood,11
2010-03-01,Long Island City,Queens,neighborhood,154
2010-03-01,Longwood,Bronx,neighborhood,2
2010-03-01,Lower East Side,Manhattan,neighborhood,125
2010-03-01,Manhattan,Manhattan,borough,10883
2010-03-01,Manhattan Beach,Brooklyn,neighborhood,0
2010-03-01,Marble Hill,Manhattan,neighborhood,0
2010-03-01,Marine Park,Brooklyn,neighborhood,8
2010-03-01,Maspeth,Queens,neighborhood,9
2010-03-01,Melrose,Bronx,neighborhood,0
2010-03-01,Middle Village,Queens,neighborhood,9
2010-03-01,Midtown,Manhattan,neighborhood,320
